EVK/EUR,Evonik_EQUITY_DE
MPW/USD,Medical Properties_EQUITY_US
GBP/CAD,GBP/CAD_CURRENCY_
UPS/USD,United Parcel_EQUITY_US
IPOUS/USD,Renaissance IPO ETF_EQUITY_US
APH/USD,Amphenol_EQUITY_US
EPD/USD,Enterprise Products_EQUITY_US
APD/USD,Air Products_EQUITY_US
IPG/USD,Interpublic_EQUITY_US
APA/USD,Apache_EQUITY_US
EVT/EUR,Evotec_EQUITY_DE
MPC/USD,Marathon Petroleum_EQUITY_US
EQT/USD,EQT_EQUITY_US
IQV/USD,Iqvia_EQUITY_US
QQQ/USD,Invesco QQQ Trust_EQUITY_US
EQR/USD,Equity Residential_EQUITY_US
CCOCA/CAD,Cameco_EQUITY_CA
ETH/EUR,Ethereum / EUR_CRYPTOCURRENCY_
ATOP/EUR,Atos_EQUITY_FR
ETL/EUR,Eutelsat_EQUITY_FR
ATL/EUR,Atlantia_EQUITY_IT
ATA/EUR,ATARI_EQUITY_FR
IRM/USD,Iron Mountain_EQUITY_US
MRO/USD,Marathon Oil_EQUITY_US
URI/USD,United Rentals_EQUITY_US
MRK/USD,Merck - USD_EQUITY_US
BTC/RUB,Bitcoin / RUB_CRYPTOCURRENCY_
ARE/USD,Alexandria RE Equities_EQUITY_US
YRD/USD,Yirendai_EQUITY_US
URA/USD,Global X Uranium ETF_EQUITY_US
ESS/USD,Essex Property_EQUITY_US
EUR/AUD,EUR/AUD_CURRENCY_
QSR/USD,Restaurant Brands_EQUITY_US
MSM/USD,MSC Industrial Direct_EQUITY_US
MSI/USD,Motorola_EQUITY_US
ASH/USD,Ashland_EQUITY_US
USB/USD,US Bancorp_EQUITY_US
GBP/SEK,GBP/SEK_CURRENCY_
ARL/EUR,Aareal Bank_EQUITY_DE
ITW/USD,Illinois Tool Works_EQUITY_US
ERFP/EUR,Eurofins_EQUITY_FR
ERG/EUR,ERG_EQUITY_IT
ETR/USD,Entergy_EQUITY_US
Eaton/USD,Eaton_EQUITY_US
MTN/USD,Vail Resorts_EQUITY_US
ETH/USD,Ethereum / USD_CRYPTOCURRENCY_
MTD/USD,Mettler-Toledo_EQUITY_US
MTB/USD,M&T Bank_EQUITY_US
5711/JPY,Mitsubishi Materials Corporation_EQUITY_JP
AUY/USD,Yamana Gold Inc. Ordinary Share_EQUITY_US
EUR/USD,EUR/USD_CURRENCY_
MUR/USD,Murphy_EQUITY_US
YUM/USD,Yum_EQUITY_US
CHF/CNH,CHF/CNH_CURRENCY_
ASR/EUR,A.S. Roma_EQUITY_IT
CAD/SGD,CAD/SGD_CURRENCY_
AUD/USD,AUD/USD_CURRENCY_
ISP/EUR,Intesa Sanpaolo_EQUITY_IT
AVY/USD,Avery Dennison_EQUITY_US
IPN/EUR,Ipsen_EQUITY_FR
IVZ/USD,Invesco_EQUITY_US
AVT/USD,Avnet_EQUITY_US
IVV/USD,iShares Core S&P 500 ETF_EQUITY_US
GBP/SGD,GBP/SGD_CURRENCY_
EVR/USD,Evercore_EQUITY_US
AVB/USD,AvalonBay_EQUITY_US
EWT/USD,iShares MSCI Taiwan ETF_EQUITY_US
EWM/USD,iShares MSCI Malaysia ETF_EQUITY_US
IWM/USD,iShares Russell 2000 ETF_EQUITY_US
CAD/SEK,CAD/SEK_CURRENCY_
AWK/USD,American Water_EQUITY_US
EWD/USD,iShares MSCI Sweden ETF_EQUITY_US
9301/JPY,Mitsubishi Logistics Corporation_EQUITY_JP
8306/JPY,"Mitsubishi UFJ Financial Group, Inc._EQUITY_JP"
6305/JPY,"Hitachi Construction Machinery Co., Ltd._EQUITY_JP"
6701/JPY,NEC Corporation_EQUITY_JP
6702/JPY,Fujitsu Limited_EQUITY_JP
EXP/USD,Eagle Materials_EQUITY_US
AXP/USD,American Express_EQUITY_US
KIE/GBP,Kier Group_EQUITY_GB
AXS/USD,Axis Capital_EQUITY_US
EXR/USD,Extra Space Storage_EQUITY_US
USD/MXN,USD/MXN_CURRENCY_
EXC/USD,Exelon_EQUITY_US
7751/JPY,Canon Inc._EQUITY_JP
6758/JPY,Sony Corporation_EQUITY_JP
6753/JPY,Sharp Corporation_EQUITY_JP
6752/JPY,Panasonic Corporation_EQUITY_JP
NZD/JPY,NZD/JPY_CURRENCY_
AYX/USD,Alteryx_EQUITY_US
IYT/USD,iShares Transportation Average ETF_EQUITY_US
IYW/USD,iShares U.S. Technology ETF_EQUITY_US
GBP/CHF,GBP/CHF_CURRENCY_
AYI/USD,Acuity Brands_EQUITY_US
IYH/USD,iShares U.S. Healthcare ETF_EQUITY_US
6762/JPY,TDK Corporation_EQUITY_JP
EZU/USD,iShares MSCI Eurozone ETF_EQUITY_US
AZO/USD,AutoZone_EQUITY_US
AZN/USD,AstraZeneca - USD_EQUITY_US
CAD/CHF,CAD/CHF_CURRENCY_
EZA/USD,iShares MSCI South Africa ETF_EQUITY_US
7731/JPY,Nikon Corporation_EQUITY_JP
7733/JPY,Olympus Corporation_EQUITY_JP
US30/USD,Dow Jones 30_INDEX_US
AZM/EUR,Azimut_EQUITY_IT
CAD/CNH,CAD/CNH_CURRENCY_
CHF/SGD,CHF/SGD_CURRENCY_
NZD/RUB,NZD/RUB_CURRENCY_
EUR/MXN,EUR/MXN_CURRENCY_
EXO/EUR,Exor_EQUITY_IT
AUD/MXN,AUD/MXN_CURRENCY_
CHF/SEK,CHF/SEK_CURRENCY_
BTC/BYN,Bitcoin / BYN_CRYPTOCURRENCY_
GBP/CNH,GBP/CNH_CURRENCY_
CNAL/GBP,Centrica_EQUITY_GB
CMCA/CAD,CIBC_EQUITY_CA
IFX/EUR,Infineon_EQUITY_DE
EAT/USD,Brinker_EQUITY_US
MAT/USD,Mattel_EQUITY_US
AAP/USD,Advance Auto_EQUITY_US
MAS/USD,Masco_EQUITY_US
MAR/USD,Marriott_EQUITY_US
UAL/USD,United_EQUITY_US
AAL/USD,American Airlines Group_EQUITY_US
MAN/USD,ManpowerGroup_EQUITY_US
CHF/CZK,CHF/CZK_CURRENCY_
MAG/USD,MAG Silver Corp._EQUITY_US
MAA/USD,Mid-America Apartment_EQUITY_US
UAA/USD,Under Armour_EQUITY_US
MAC/USD,Macerich_EQUITY_US
IAC/USD,IAC Interactive_EQUITY_US
ABT/USD,Abbott_EQUITY_US
EDF/EUR,Edf_EQUITY_FR
EBS/USD,Emergent BioSolutions_EQUITY_US
IBM/USD,IBM_EQUITY_US
